date,commodity,market_location,price,currency,source,commodity_std,source_type
2012-04-01,Coal,India - Wholesale Price Index,100.4,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-04-01,Grain,India - Wholesale Price Index,105.366667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-04-01,Iron Ore,India - Wholesale Price Index,100.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-05-01,Coal,India - Wholesale Price Index,100.4,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-05-01,Grain,India - Wholesale Price Index,105.266667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-05-01,Iron Ore,India - Wholesale Price Index,104.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-06-01,Coal,India - Wholesale Price Index,101.0,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-06-01,Grain,India - Wholesale Price Index,106.5,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-06-01,Iron Ore,India - Wholesale Price Index,106.1,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-07-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-07-01,Grain,India - Wholesale Price Index,108.666667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-07-01,Iron Ore,India - Wholesale Price Index,110.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-08-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-08-01,Grain,India - Wholesale Price Index,114.566667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-08-01,Iron Ore,India - Wholesale Price Index,108.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-09-01,Iron Ore,India - Wholesale Price Index,106.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-09-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-09-01,Grain,India - Wholesale Price Index,116.033333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-10-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-10-01,Grain,India - Wholesale Price Index,116.133333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-10-01,Iron Ore,India - Wholesale Price Index,105.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-11-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-11-01,Grain,India - Wholesale Price Index,117.466667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-11-01,Iron Ore,India - Wholesale Price Index,107.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2012-12-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2012-12-01,Grain,India - Wholesale Price Index,118.8,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2012-12-01,Iron Ore,India - Wholesale Price Index,105.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-01-01,Iron Ore,India - Wholesale Price Index,98.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-01-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-01-01,Grain,India - Wholesale Price Index,120.5,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-02-01,Iron Ore,India - Wholesale Price Index,100.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-02-01,Grain,India - Wholesale Price Index,121.733333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-02-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-03-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-03-01,Grain,India - Wholesale Price Index,122.1,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-03-01,Iron Ore,India - Wholesale Price Index,91.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-04-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-04-01,Grain,India - Wholesale Price Index,122.3,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-04-01,Iron Ore,India - Wholesale Price Index,91.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-05-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-05-01,Grain,India - Wholesale Price Index,122.333333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-05-01,Iron Ore,India - Wholesale Price Index,90.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-06-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-06-01,Grain,India - Wholesale Price Index,125.5,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-06-01,Iron Ore,India - Wholesale Price Index,90.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
