date,indicator_name,value,unit,source,source_type
2010-04-01,Coal Import Value from Australia,4050.17,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2010-04-01,Coal Import Value from Indonesia,2958.52,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2010-04-01,Coal Import Value from Mozambique,0.02,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2010-04-01,Iron Ore Import Value from Australia,0.0,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2010-04-01,Iron Ore Import Value from Indonesia,4.21,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2011-04-01,Coal Import Value from Australia,7765.57,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2011-04-01,Coal Import Value from Indonesia,5500.61,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2011-04-01,Coal Import Value from Mozambique,9.88,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2011-04-01,Iron Ore Import Value from Indonesia,0.0,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2012-04-01,Coal Import Value from Australia,5809.93,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2012-04-01,Coal Import Value from Indonesia,6061.43,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2012-04-01,Coal Import Value from Mozambique,187.17,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2012-04-01,Iron Ore Import Value from Australia,61.6,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2013-04-01,Coal Import Value from Australia,5288.39,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2013-04-01,Coal Import Value from Indonesia,6852.39,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2013-04-01,Coal Import Value from Mozambique,193.35,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2013-04-01,Iron Ore Import Value from Australia,6.82,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2014-04-01,Coal Import Value from Australia,5665.97,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2014-04-01,Coal Import Value from Indonesia,7384.21,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2014-04-01,Coal Import Value from Mozambique,218.46,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2014-04-01,Iron Ore Import Value from Australia,161.01,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2015-04-01,Coal Import Value from Australia,4543.91,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2015-04-01,Coal Import Value from Indonesia,4893.12,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2015-04-01,Coal Import Value from Mozambique,217.52,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2015-04-01,Iron Ore Import Value from Australia,3.88,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2016-04-01,Coal Import Value from Australia,6472.52,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
