timestamp,origin_port,destination_port,vessel_type,cargo_type,freight_rate,currency,unit,fuel_price_vlsfo_usd,dest_port_wait_hours,origin_port_std,destination_port_std,cargo_type_std,date,source_type
2021-01-01,Belawan,Chennai Port,MR Tanker,Palm Oil,5.5884,USD,USD/Tonne,430.76,17.21,BELAWAN,CHENNAI,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Santos,Visakhapatnam Port (Vizag),Panamax,Grain,8.3726,USD,USD/Tonne,430.76,14.5,SANTOS,VISAKHAPATNAM,GRAIN,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Santos,V.O. Chidambaranar Port (Tuticorin / VOC Port),Supramax,Grain,9.9403,USD,USD/Tonne,430.76,17.38,SANTOS,TUTICORIN,GRAIN,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Santos,Kolkata / Haldia Dock Complex (HDC),Handysize,Grain,14.4578,USD,USD/Tonne,430.76,20.45,SANTOS,KOLKATA_HALDIA,GRAIN,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Santos,Chennai Port,Panamax,Grain,8.6928,USD,USD/Tonne,430.76,19.06,SANTOS,CHENNAI,GRAIN,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Richards Bay,Visakhapatnam Port (Vizag),Panamax,Thermal Coal,8.4389,USD,USD/Tonne,430.76,39.47,RICHARDS BAY,VISAKHAPATNAM,THERMAL_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Richards Bay,Paradip Port,Capesize,Thermal Coal,7.0426,USD,USD/Tonne,430.76,41.65,RICHARDS BAY,PARADIP,THERMAL_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Richards Bay,Kolkata / Haldia Dock Complex (HDC),Handysize,Thermal Coal,13.825,USD,USD/Tonne,430.76,27.18,RICHARDS BAY,KOLKATA_HALDIA,THERMAL_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Richards Bay,Chennai Port,Supramax,Coking Coal,8.5922,USD,USD/Tonne,430.76,12.59,RICHARDS BAY,CHENNAI,COKING_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Port Hedland,Paradip Port,Capesize,Iron Ore,4.2169,USD,USD/Tonne,430.76,25.17,PORT HEDLAND,PARADIP,IRON_ORE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Port Hedland,Kamarajar Port (Ennore),Panamax,Iron Ore,5.6562,USD,USD/Tonne,430.76,21.69,PORT HEDLAND,KAMARAJAR,IRON_ORE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Port Hedland,Chennai Port,Panamax,Iron Ore,5.1233,USD,USD/Tonne,430.76,7.85,PORT HEDLAND,CHENNAI,IRON_ORE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,Visakhapatnam Port (Vizag),MR Tanker,POL/Crude,7.0955,USD,USD/Tonne,430.76,20.15,MINA AL AHMADI,VISAKHAPATNAM,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,POL/Crude,5.8195,USD,USD/Tonne,430.76,2.0,MINA AL AHMADI,TUTICORIN,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,Paradip Port,MR Tanker,POL/Crude,7.8138,USD,USD/Tonne,430.76,35.91,MINA AL AHMADI,PARADIP,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Port Hedland,Visakhapatnam Port (Vizag),Capesize,Iron Ore,4.969,USD,USD/Tonne,430.76,32.22,PORT HEDLAND,VISAKHAPATNAM,IRON_ORE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,Kamarajar Port (Ennore),MR Tanker,POL/Crude,5.1319,USD,USD/Tonne,430.76,3.36,MINA AL AHMADI,KAMARAJAR,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,Kolkata / Haldia Dock Complex (HDC),MR Tanker,POL/Crude,10.2919,USD,USD/Tonne,430.76,35.07,MINA AL AHMADI,KOLKATA_HALDIA,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Belawan,Kolkata / Haldia Dock Complex (HDC),MR Tanker,Palm Oil,11.3019,USD,USD/Tonne,430.76,46.23,BELAWAN,KOLKATA_HALDIA,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Belawan,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,Palm Oil,4.6104,USD,USD/Tonne,430.76,10.18,BELAWAN,TUTICORIN,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Dumai,Chennai Port,MR Tanker,Palm Oil,4.1865,USD,USD/Tonne,430.76,9.86,DUMAI,CHENNAI,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Dumai,Kolkata / Haldia Dock Complex (HDC),MR Tanker,Palm Oil,10.0372,USD,USD/Tonne,430.76,40.08,DUMAI,KOLKATA_HALDIA,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Dumai,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,Palm Oil,4.0074,USD,USD/Tonne,430.76,14.54,DUMAI,TUTICORIN,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Belawan,Kamarajar Port (Ennore),MR Tanker,Palm Oil,6.0371,USD,USD/Tonne,430.76,28.59,BELAWAN,KAMARAJAR,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Hay Point,Chennai Port,Supramax,Coking Coal,7.8349,USD,USD/Tonne,430.76,23.65,HAY POINT,CHENNAI,COKING_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Hay Point,Kolkata / Haldia Dock Complex (HDC),Handysize,Coking Coal,11.9549,USD,USD/Tonne,430.76,23.36,HAY POINT,KOLKATA_HALDIA,COKING_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Hay Point,Paradip Port,Capesize,Coking Coal,4.2329,USD,USD/Tonne,430.76,10.81,HAY POINT,PARADIP,COKING_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Hay Point,Visakhapatnam Port (Vizag),Panamax,Coking Coal,5.2581,USD,USD/Tonne,430.76,6.64,HAY POINT,VISAKHAPATNAM,COKING_COAL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Mina Al Ahmadi,Chennai Port,MR Tanker,POL/Crude,6.3956,USD,USD/Tonne,430.76,21.96,MINA AL AHMADI,CHENNAI,POL_CRUDE,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-01,Dumai,Visakhapatnam Port (Vizag),MR Tanker,Palm Oil,4.8299,USD,USD/Tonne,430.76,8.38,DUMAI,VISAKHAPATNAM,PALM_OIL,2021-01-01,HISTORICAL_TRAINING_SERIES
2021-01-02,Mina Al Ahmadi,Visakhapatnam Port (Vizag),MR Tanker,POL/Crude,8.068,USD,USD/Tonne,433.95,20.1,MINA AL AHMADI,VISAKHAPATNAM,POL_CRUDE,2021-01-02,HISTORICAL_TRAINING_SERIES
2021-01-02,Port Hedland,Chennai Port,Panamax,Iron Ore,4.9697,USD,USD/Tonne,433.95,12.07,PORT HEDLAND,CHENNAI,IRON_ORE,2021-01-02,HISTORICAL_TRAINING_SERIES
2021-01-02,Port Hedland,Kamarajar Port (Ennore),Panamax,Iron Ore,5.1157,USD,USD/Tonne,433.95,22.55,PORT HEDLAND,KAMARAJAR,IRON_ORE,2021-01-02,HISTORICAL_TRAINING_SERIES
