date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-03-31,Chennai,HFHSD / LSHF HSD,681.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,456.67,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Visakhapatnam,HFHSD / LSHF HSD,683.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,480.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Paradip,Marine Fuel 0.5% / MFO 0.5%,465.65,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Paradip,HFHSD / LSHF HSD,682.56,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,687.82,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Kamarajar Port (Ennore),HFHSD / LSHF HSD,681.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Haldia,Marine Fuel 0.5% / MFO 0.5%,459.71,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Haldia,HFHSD / LSHF HSD,692.16,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Chennai,Marine Fuel 0.5% / MFO 0.5%,480.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-03-31,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,480.13,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Paradip,Marine Fuel 0.5% / MFO 0.5%,465.133907,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,456.178443,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Visakhapatnam,HFHSD / LSHF HSD,682.231284,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,479.574344,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,686.909208,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Paradip,HFHSD / LSHF HSD,681.658579,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Haldia,HFHSD / LSHF HSD,691.263142,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Kamarajar Port (Ennore),HFHSD / LSHF HSD,680.227705,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Haldia,Marine Fuel 0.5% / MFO 0.5%,459.210137,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Chennai,Marine Fuel 0.5% / MFO 0.5%,479.574344,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Chennai,HFHSD / LSHF HSD,680.227705,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-01,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,479.574344,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Paradip,Marine Fuel 0.5% / MFO 0.5%,464.617814,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,455.686885,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Visakhapatnam,HFHSD / LSHF HSD,681.332568,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,479.018689,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Paradip,HFHSD / LSHF HSD,680.757158,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,685.998415,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Kamarajar Port (Ennore),HFHSD / LSHF HSD,679.32541,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Haldia,Marine Fuel 0.5% / MFO 0.5%,458.710273,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,479.018689,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Haldia,HFHSD / LSHF HSD,690.366284,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Chennai,Marine Fuel 0.5% / MFO 0.5%,479.018689,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Chennai,HFHSD / LSHF HSD,679.32541,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Visakhapatnam,HFHSD / LSHF HSD,680.433852,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,478.463033,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,685.087623,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Paradip,Marine Fuel 0.5% / MFO 0.5%,464.101721,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
