date,port,vessel_type,vessel_availability,open_vessel,availability_date,regional_vessel_supply,active_route_observations,avg_wait_hours,source,source_type
2021-01-01,Chennai Port,MR Tanker,6.81,1.65,2021-01-01,86.56509440742451,93,24.861290322580643,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Chennai Port,Panamax,5.64,1.37,2021-01-01,65.4933846992042,62,23.760322580645163,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Chennai Port,Supramax,6.61,1.53,2021-01-01,82.94715295003373,62,31.556290322580644,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Kamarajar Port (Ennore),MR Tanker,5.58,1.34,2021-01-01,64.42052721289946,62,25.745645161290323,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Kamarajar Port (Ennore),Panamax,4.16,0.95,2021-01-01,38.85247343562379,31,32.965161290322584,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Kolkata / Haldia Dock Complex (HDC),Handysize,6.4,1.41,2021-01-01,79.20893012688612,93,38.47387096774194,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Kolkata / Haldia Dock Complex (HDC),MR Tanker,6.3,1.36,2021-01-01,77.37716695098392,93,41.86354838709677,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Paradip Port,Capesize,6.24,1.32,2021-01-01,76.31270591750616,93,43.833333333333336,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,Paradip Port,MR Tanker,4.0,0.88,2021-01-01,36.070138828602936,31,38.11387096774193,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
2021-01-01,V.O. Chidambaranar Port (Tuticorin / VOC Port),MR Tanker,6.81,1.64,2021-01-01,86.51093873936397,93,24.961505376344086,"DERIVED: historical freight route activity + port wait-time; monthly vessel-supply proxy, not broker-reported open positions",DERIVED_PROXY
